"","ISO3","Country_Name","Year","High_Mult","Low_Mult"
"87","CPV","Cape Verde",2020,1.0776760537112,0.9191586795403
"88","TCD","Chad",2020,1.15435392564482,0.861097683642342
"89","CIV","Cote d'Ivoire",2020,1.08420739042206,0.913827992218834
"90","GMB","Gambia",2020,1.08317991054024,0.906604720016146
"91","GHA","Ghana",2020,1.06382147224672,0.92058556349359
"92","GIN","Guinea",2020,1.09094101348338,0.913207917314763
"93","GNB","Guinea-Bissau",2020,1.09105935742764,0.881092467794907
"94","LBR","Liberia",2020,1.06986885820634,0.921419007148936
"95","MLI","Mali",2020,1.13278047941225,0.838357332142754
"96","MRT","Mauritania",2020,1.11984320897314,0.880708843109522
"97","NER","Niger",2020,1.15376405804363,0.872510247358381
"98","NGA","Nigeria",2020,1.05546093687025,0.924859475205155
"99","STP","Sao Tome And Principe",2020,1.08667598329207,0.916757860918155
"100","SEN","Senegal",2020,1.09839325459563,0.900506048085808
"101","SLE","Sierra Leone",2020,1.05784850701527,0.922065239303659
"102","TGO","Togo",2020,1.09762153250228,0.9039490490821
"103","GUF","French Guiana",2020,1.12217121995775,0.881807685412019
"104","MYT","Mayotte",2020,1.06668314649108,0.931753224678433
"105","SSD","South Sudan",2020,1.19501567725964,0.811539474383983
"106","SDN","Sudan",2020,1.12256655742014,0.825189150059798
"107","MEX","Mexico",2020,1.07101363833137,0.941086035671863
"108","MEX","Mexico",2020,1.04068980182638,0.954172634213255
"109","MEX","Mexico",2020,1.04757571007407,0.939002853283308
"110","MEX","Mexico",2020,1.04197510815536,0.950118543764448
"111","MEX","Mexico",2020,1.035025080485,0.962698130281692
"112","MEX","Mexico",2020,1.06463282908353,0.939878649822001
"113","MEX","Mexico",2020,1.0605482513547,0.941364409283063
"114","MEX","Mexico",2020,1.04508953163862,0.950211084330366
"115","MEX","Mexico",2020,1.05418067194689,0.944554358567058
"116","MEX","Mexico",2020,1.067914865139,0.919937167663097
"117","MEX","Mexico",2020,1.05603022726195,0.944632415869106
"118","MEX","Mexico",2020,1.04347490923429,0.944766651635889
"119","MEX","Mexico",2020,1.04378221242584,0.950810733091348
"120","MEX","Mexico",2020,1.03853423605643,0.963934684841343
"121","MEX","Mexico",2020,1.05120807346339,0.943009923035786
"122","MEX","Mexico",2020,1.05794652702032,0.940552569907607
"123","MEX","Mexico",2020,1.04661995579412,0.952801776783645
"124","MEX","Mexico",2020,1.0483060303698,0.948981839455572
"125","MEX","Mexico",2020,1.06847504059642,0.942518709124461
"126","MEX","Mexico",2020,1.04645710583931,0.958116988453752
"127","MEX","Mexico",2020,1.04667674275043,0.938774690973848
"128","MEX","Mexico",2020,1.04965822226594,0.945452803418225
"129","MEX","Mexico",2020,1.04617080177804,0.960760382836017
"130","MEX","Mexico",2020,1.04503777490683,0.947704830018726
"131","MEX","Mexico",2020,1.05201763870718,0.937510492350623
"132","MEX","Mexico",2020,1.05877021006734,0.938365812062998
"133","MEX","Mexico",2020,1.05126428116594,0.932694851724313
"134","MEX","Mexico",2020,1.05465700623524,0.936085603257481
"135","MEX","Mexico",2020,1.04514744996836,0.945365871751225
"136","MEX","Mexico",2020,1.0531019666198,0.934176664275326
"137","MEX","Mexico",2020,1.04544634568488,0.954590565240825
"138","MEX","Mexico",2020,1.06861096131859,0.914500845320831
"139","BRA","Brazil",2020,1.09398730203203,0.90790913915882
"140","BRA","Brazil",2020,1.10357279065993,0.916105368538948
"141","BRA","Brazil",2020,1.09502010645451,0.904099263851626
"142","BRA","Brazil",2020,1.08247289375992,0.923285876379264
"143","BRA","Brazil",2020,1.06547810650546,0.918653948406435
"144","BRA","Brazil",2020,1.08529519440062,0.923588229690703
"145","BRA","Brazil",2020,1.06566148994544,0.913384239940937
"146","BRA","Brazil",2020,1.08319008021597,0.919711402813042
"147","BRA","Brazil",2020,1.09587717452658,0.91047886080914
"148","BRA","Brazil",2020,1.08443805246896,0.92497365139249
"149","BRA","Brazil",2020,1.08469676136157,0.898915713400336
"150","BRA","Brazil",2020,1.08707346424674,0.908184185048516
"151","BRA","Brazil",2020,1.08689473115944,0.911126252387413
"152","BRA","Brazil",2020,1.11196416649042,0.900424711739826
"153","BRA","Brazil",2020,1.06384027996374,0.942863844765019
"154","BRA","Brazil",2020,1.08822868961925,0.893396582804024
"155","BRA","Brazil",2020,1.09226649033008,0.926605574542979
"156","BRA","Brazil",2020,1.07218810981271,0.938479037794391
"157","BRA","Brazil",2020,1.08495852991373,0.899989350869011
"158","BRA","Brazil",2020,1.06533068585476,0.898124939839515
"159","BRA","Brazil",2020,1.08231341667222,0.919775878209095
"160","BRA","Brazil",2020,1.09015792594212,0.899433265089742
"161","BRA","Brazil",2020,1.08120665674168,0.904783064078939
"162","BRA","Brazil",2020,1.07967898486343,0.917041833521558
"163","BRA","Brazil",2020,1.07873578629181,0.915377552214827
"164","BRA","Brazil",2020,1.06584967325775,0.928167168593105
"165","BRA","Brazil",2020,1.09402476379232,0.894930644446036
"166","IRN","Iran",2020,1.13894234205718,0.838454450173218
"167","IRN","Iran",2020,1.13255258966557,0.817913987587202
"168","IRN","Iran",2020,1.13552624852042,0.850098351197534
"169","IRN","Iran",2020,1.12139772091634,0.855342729329295
"170","IRN","Iran",2020,1.1356310608494,0.854681230876841
"171","IRN","Iran",2020,1.18322770219606,0.816563842000056
"172","IRN","Iran",2020,1.14377534468146,0.828969179280665
"173","IRN","Iran",2020,1.16493567400261,0.826540014186382
"174","IRN","Iran",2020,1.13810663306074,0.848755672818977
"175","IRN","Iran",2020,1.18126204075387,0.846842039818933
"176","IRN","Iran",2020,1.14105040803268,0.842754361622627
"177","IRN","Iran",2020,1.15202305126618,0.824466684314414
"178","IRN","Iran",2020,1.1465224912281,0.813167373463126
"179","IRN","Iran",2020,1.17615709115007,0.813207612468913
"180","IRN","Iran",2020,1.16933670661352,0.828513331467281
"181","IRN","Iran",2020,1.11893972804693,0.872187688666497
"182","IRN","Iran",2020,1.12284638536822,0.830776401517357
"183","IRN","Iran",2020,1.11970715637654,0.848216826279366
"184","IRN","Iran",2020,1.14063847572849,0.826437507193276
"185","IRN","Iran",2020,1.13820387167951,0.857577372703906
"186","IRN","Iran",2020,1.12797276946334,0.852896282338612
"187","IRN","Iran",2020,1.14391917877653,0.814052005735927
"188","IRN","Iran",2020,1.14143246489394,0.872797853104336
"189","IRN","Iran",2020,1.14443514742887,0.855842947365893
"190","IRN","Iran",2020,1.15392007130789,0.773106928048431
"191","IRN","Iran",2020,1.14055621462202,0.843048442650638
"192","IRN","Iran",2020,1.13883860199733,0.861971097963764
"193","IRN","Iran",2020,1.10285686106732,0.895324385625643
"194","IRN","Iran",2020,1.12748507503197,0.861886371679014
"195","IRN","Iran",2020,1.13508227576532,0.825918066795756
"196","IRN","Iran",2020,1.13955181132183,0.838710414662852
"197","IND","India",2020,1.03349654791385,0.958814535577761
"198","IND","India",2020,1.13795513518432,0.871229444996767
"199","IND","India",2020,1.08632240954096,0.900795096518017
"200","IND","India",2020,1.04940437504434,0.948779513013599
"201","IND","India",2020,1.03909858289123,0.953746720967745
"202","IND","India",2020,1.03133831628699,0.968804794333081
"203","IND","India",2020,1.03533691256759,0.96074845469713
"204","IND","India",2020,1.03983469762923,0.959058429262738
"205","IND","India",2020,1.01932202565701,0.977508084500922
"206","IND","India",2020,1.03494693262048,0.958721804246706
"207","IND","India",2020,1.0339872567015,0.966260807133045
"208","IND","India",2020,1.05251997154496,0.940330561953178
"209","IND","India",2020,1.0341484311529,0.957730533597371
"210","IND","India",2020,1.04715339906877,0.937746563883541
"211","IND","India",2020,1.04488095591353,0.948641213826961
"212","IND","India",2020,1.02610169891736,0.966751290404773
"213","IND","India",2020,1.09750152437048,0.8947882924422
"214","IND","India",2020,1.05185101737328,0.94528551651596
"215","IND","India",2020,1.10067300592943,0.90324447519166
"216","IND","India",2020,1.14612776242054,0.837570885623734
"217","IND","India",2020,1.04900076745603,0.955097645196936
"218","IND","India",2020,1.01109806038155,0.987241732073473
"219","IND","India",2020,1.03590154237068,0.965902394895512
"220","IND","India",2020,1.08453902503624,0.915523883658551
"221","IND","India",2020,1.03865165406843,0.954468334431296
"222","IND","India",2020,1.04294969077211,0.956407202879535
"223","IND","India",2020,1.06097454408695,0.937375679826949
"224","IND","India",2020,1.03941602382394,0.957866499454992
"225","IND","India",2020,1.0452094309656,0.948931967648617
"226","IND","India",2020,1.06991404106938,0.936599800227188
"227","PAK","Pakistan",2020,1.04329689705486,0.953227173682662
"228","PAK","Pakistan",2020,1.07796278612868,0.922839760203415
"229","PAK","Pakistan",2020,1.07065580987512,0.925050603490118
"230","PAK","Pakistan",2020,1.04792948415294,0.944787307051192
"231","PAK","Pakistan",2020,1.05976766065342,0.943460307742055
"232","PAK","Pakistan",2020,1.02874777256269,0.962658223271991
"233","PAK","Pakistan",2020,1.03698833333203,0.962139046908958
"234","CHN","China",2020,1.04867390959339,0.949512401864105
"235","CHN","China",2020,1.04970838487749,0.943835894750262
"236","IDN","Indonesia",2020,1.02764515252917,0.965446100327406
"237","IDN","Indonesia",2020,1.02806770295587,0.969007034583914
"238","IDN","Indonesia",2020,1.01224869717206,0.986043654997656
"239","IDN","Indonesia",2020,1.01934639621547,0.977959635645498
